Name,GP,MIN,PTS,FG_PC,THREEP_Made,THREEP_PC,FTM,FT_PC,REB,AST,STL,BLK,TOV,TARGET_5Yrs
Mark Aguirre,51,28.8,18.7,46.5,0.5,35.2,3.3,68,4.9,3.2,0.7,0.4,2.6,1
Herb Williams,82,27.8,11.5,47.7,0,28.6,1.5,67,7.4,1.7,0.7,2.2,1.7,1
Jeff Ruland,82,27,14.4,56.1,0,33.3,4.2,75.2,9.3,1.6,0.5,0.7,2.9,1
Frank Johnson,79,25.7,10.7,41.4,0.2,21.5,1.9,75,1.9,4.8,1,0.1,2,1
Elston Turner,80,25,8.3,44.1,0,0,1.2,70.3,3.8,2.4,0.9,0,1.4,1
Steve Johnson,78,22.3,12.8,61.3,0,0,2.7,64.2,5.9,1.2,0.5,1.1,2.5,1
Albert King,76,22.3,12.1,48.2,0,23.1,1.8,77.8,4.1,1.9,0.8,0.5,2.4,1
Gene Banks,80,21.3,9.6,47.7,0,0,1.8,68.4,5.1,1.8,0.7,0.2,1.3,1
Eddie Johnson,74,20.5,9.3,45.9,0,9.1,1.3,66.4,4.4,1.5,0.7,0.2,1.3,1
Eddie Johnson,74,20.5,9.3,45.9,0,9.1,1.3,66.4,4.4,1.5,0.7,0.2,1.3,1
Danny Schayes,82,19.8,7.9,48.1,0,0,1.7,75.7,5.2,1.8,0.6,0.9,1.8,1
Rudy Macklin,79,19.2,7,43.4,0,0,1.7,77.5,3.3,0.6,0.5,0.3,1.4,0
Sam Williams,59,18.2,6.1,55.6,0,,0.8,55.1,5.2,0.6,0.8,1.3,1.1,0
Kurt Rambis,64,17.7,4.6,51.8,0,0,0.9,50.4,5.4,0.9,0.9,1.2,1.2,1
Kurt Nimphius,63,17.2,5.3,46.1,0,,1,58.3,4.7,1,0.3,1.3,0.9,1
Pete Verhoeven,71,17,4.9,50.3,0,,0.7,70.8,3.6,0.7,0.6,0.3,0.8,1
Darnell Valentine,82,16.9,6.4,41.3,0,0,1.9,76,1.8,3.3,1.1,0,1.6,1
Jim Brogan,63,16.3,6.3,45.3,0.1,28.1,1,72.6,1.9,2.5,0.8,0.2,1.3,0
John Douglas,64,16.1,7,46.5,0.3,30.5,1,65.7,1.4,2.3,0.8,0.1,1.4,0
Kevin Loder,71,16,6.9,46.4,0,0,1.1,72,2.7,1.2,0.5,0.4,1,0
Orlando Woolridge,75,15.8,7.3,51.3,0,0,1.9,69.9,3,1.1,0.3,0.3,1.4,1
Alton Lister,80,14.8,4.5,51.9,0,0,0.8,52,4.8,1.1,0.2,1.5,1.6,1
Larry Nance,80,14.8,6.6,52.1,0,0,0.9,64.1,3.2,1,0.5,0.9,1.3,1
Danny Vranes,77,14,4.9,54.6,0,0,1.2,60.1,2.6,0.7,0.4,0.3,0.9,1
Ed Rains,49,13,3.9,43.5,0,0,0.8,59.4,1.6,0.8,0.4,0,0.5,0
Peyton Siva,24,9.3,2.3,31.6,0.3,28,0.5,73.3,0.6,1.4,0.4,0,0.8,0
Jim Smith,72,11.9,2.9,50.9,0,,0.5,45.9,2.5,0.6,0.3,0.7,0.7,0
Jeff Lamp,54,11.4,4.6,51,0,0,0.9,82,1.2,0.5,0.3,0,0.8,1
Ray Blume,49,11.1,4.6,45.9,0.1,22.2,0.4,64.3,0.8,1.4,0.5,0,1.1,0
Garry Witts,46,10.7,2.9,58.3,0,50,0.7,82.5,1.3,0.8,0.4,0.1,0.8,0
Charlie Davis,54,10.6,3.8,47.8,0,0,0.6,81.1,2.5,0.6,0.2,0.2,0.8,0
Danny Ainge,53,10.6,4.1,35.7,0.1,29.4,1.1,86.2,1.1,1.6,0.7,0.1,1,1
Mike McGee,39,9,4.9,46.5,0,0,0.8,58.5,1.3,0.4,0.5,0.1,0.9,1
Mark Radford,43,8.6,3.4,54,0,66.7,0.8,50.7,0.7,1.3,0.4,0.1,1,0
Alex Bradley,39,8.5,3.5,52.4,0,0,0.7,60.4,1.7,0.3,0.3,0.1,0.7,0
Reggie Bullock,43,9.2,2.7,35.5,0.5,30.1,0.2,77.8,1.3,0.3,0.2,0,0.3,0
Howard Wood,42,8.1,3.4,45.8,0,0,0.8,65.4,1.5,0.2,0.2,0.1,0.4,0
Franklin Edwards,42,6.9,3.6,43.3,0,0,0.5,74.1,0.6,1.1,0.4,0.1,0.6,1
Bobby Cattage,49,6.9,3.1,44.4,0,0,0.6,73.2,1.5,0.1,0.1,0,0.4,0
Charles Bradley,51,6.6,3,45.1,0,0,0.8,67.7,0.7,0.4,0.3,0.1,0.7,0
Kevin McKenna,36,6.6,1.9,32.2,0,0,0.3,64.7,0.8,0.4,0.3,0.1,0.6,1
Joe Barry Carroll,82,35.6,18.9,49.1,0,0,3.8,71.6,9.3,1.4,0.6,1.5,3,1
Darrell Griffith,81,35.4,20.6,46.4,0.1,19.2,2.8,71.6,3.6,2.4,1.3,0.5,2.9,1
Larry Smith,82,31.4,9.6,51.2,0,0,2.2,58.8,12.1,1.1,0.8,0.8,1.8,1
Mike O'Koren,79,31.3,11,48.6,0.1,27.8,1.7,63.7,6.1,3.2,1.1,0.3,1.9,1
Kelvin Ransey,80,30.4,15.2,45.2,0,9.7,2.1,74.9,2.4,6.9,1.1,0.1,2.9,1
Malcolm Delaney,33,16.4,5.3,37.1,0.2,17.4,1.1,86,1.6,2.8,0.4,0,1.5,0
Otto Porter,37,8.6,2.1,36.3,0.1,19,0.2,66.7,1.5,0.3,0.2,0,0.4,0
Bill Laimbeer,81,30.4,9.8,50.3,0,0,1.4,76.5,8.6,2.7,0.7,1,1.6,1
Michael Brooks,82,30.2,14.7,47.9,0,0,2.8,70.6,5.4,2.5,1.2,0.4,2,1
Mike Gminski,56,28.2,13.2,42.3,0,0,2.8,76.7,7.5,1.3,1,1.8,2.3,1
Darwin Cook,81,24.4,11.2,46.8,0.1,24,1.6,73.3,2.9,3.7,1.7,0.4,2.2,1
Andrew Toney,75,23.6,12.9,49.5,0.1,31,2.1,71.2,1.9,3.6,0.8,0.1,2.9,1
Cedrick Hordges,68,23.5,8.4,46,0,0,1.9,69.9,6.7,1.5,0.5,0.3,1.8,0
Calvin Garrett,70,23.4,6.1,45.3,0,33.3,0.7,80.6,3.8,1.9,0.7,0.1,1.3,0
Don Collins,81,22.8,11.5,44.4,0,0,2.6,77.6,3.3,2.3,1.3,0.3,2.1,1
Louis Orr,82,21.8,10.5,49.1,0,0,2,80.7,4.4,1.6,0.7,0.3,1.5,1
Reggie Johnson,79,21.7,10.2,49.9,0,0,1.6,66.3,4.5,1,0.6,0.6,1.6,0
Larry Drew,76,20.8,6.6,40.7,0.1,23.5,1.4,79.7,1.6,3.3,1.2,0.1,2.2,1
Larry Drew,76,20.8,6.6,40.7,0.1,23.5,1.4,79.7,1.6,3.3,1.2,0.1,2.2,0
Kevin McHale*,82,20.1,10,53.3,0,0,1.3,67.9,4.4,0.7,0.3,1.8,1.3,1
Lowes Moore,71,19.8,7,44.4,0.1,14.8,1,75,2.4,3.2,0.9,0.2,1.5,0
Wayne Robinson,81,19.7,7.9,46,0,0,2.2,72.9,3.6,1.4,0.6,0.3,1.8,0
Johnny Moore,82,19.2,7.4,47.9,0,5.3,1.3,61,2.4,4.5,1.5,0.3,1.9,1
Jeff Wilkins,56,18.9,4.7,45,0,,0.5,67.5,4.9,0.7,0.6,0.8,1.1,1
Kyle Macy,82,17.9,8.1,51.1,0.1,23.5,1.3,89.9,1.6,2,0.9,0.1,1.2,1
Bill Hanzlik,74,17,5.4,47.8,0,20,1.6,79.3,2.1,1.5,0.8,0.3,1.1,1
Solomon Hill,28,8.1,1.7,42.5,0.3,30.4,0.2,85.7,1.5,0.4,0.2,0.1,0.5,0
Edgar Jones,60,15.8,8.7,52.9,0,0,2.4,67,4.4,0.7,0.6,1.4,1.7,1
Sam Worthen,64,14.8,3.7,49.5,0,0,0.7,75,1.8,1.8,0.9,0.1,1.4,0
James Johnson,68,14.4,5.3,54.2,0,0,1.5,59.4,4.5,0.6,0.1,1.1,1,1
James Johnson,65,11.6,3.9,45.2,0.2,32.6,0.8,72.9,2,0.7,0.3,0.7,0.9,1
Lorenzo Romar,53,13.7,4.1,41.2,0,33.3,0.8,68.3,1.1,2.6,0.5,0.1,1,1
Rick Mahorn,52,13.4,4.8,50.7,0,0,0.5,67.5,4.1,0.5,0.4,0.8,0.7,1
Rickey Brown,45,12.9,4,51.2,0,0,0.4,76.2,3.7,0.5,0.2,0.3,0.7,1
Butch Carter,54,12.4,5.6,46.2,0.1,30,1.3,73.7,1.2,1,0.4,0,0.9,1
Mike Woodson,81,11.7,4.7,44.2,0,20,0.6,76.6,1.2,0.9,0.4,0.1,0.7,1
John Duren,40,11.5,1.8,32.7,0,0,0.1,55.6,0.9,1.4,0.5,0.1,0.9,0
James Wilkes,48,11.3,4.1,46.2,0,0,0.6,69,2,0.6,0.5,0.3,0.7,0
Shabazz Muhammad,37,7.8,3.9,46,0.1,27.3,0.7,65,1.4,0.2,0.2,0,0.4,0
DeWayne Scales,44,11,4.9,41.8,0,16.7,0.6,66.7,3,0.2,0.3,0.1,0.7,0
Craig Shelton,55,10.7,4.3,45.7,0,0,0.6,60.3,2.5,0.5,0.3,0.1,1.1,0
Earl Cureton,52,10.2,4.2,45.4,0,0,0.6,51.6,3,0.5,0.4,0.4,0.6,1
Billy Reid,59,10.1,3.2,45.4,0,0,0.4,56.4,1,1.2,0.6,0.1,1.3,0
Jerry Sichting,47,9.6,2,35.8,0,0,0.5,78.1,0.9,1.5,0.5,0,0.6,1
Reggie Carter,60,8.9,2.8,33,0,0,0.9,73.9,1.2,1.3,0.4,0,0.6,0
Mike Harper,55,8.4,2.7,41.2,0,0,0.7,43.5,1.7,0.3,0.4,0.4,0.6,0
Mike Niles,44,5.3,2.6,34.8,0,50,0.4,45.9,1.3,0.3,0.2,0,0.6,0
Toure' Murry,51,7.3,2.7,43.4,0.1,41.7,0.5,59,0.9,1,0.4,0,0.7,0
Dionte Christmas,31,6.4,2.3,35.5,0.3,29,0.6,75,1.2,0.3,0.1,0.1,0.2,0
Damian Lillard,82,38.6,19,42.9,2.3,36.8,3.3,84.4,3.1,6.5,0.9,0.2,3,1
Bradley Beal,56,31.2,13.9,41,1.6,38.6,2.2,78.6,3.8,2.4,0.9,0.5,1.6,1
Semaj Christon,33,15.6,3,31.8,0.2,16.7,0.3,52.9,1.4,2.5,0.4,0.1,0.7,0
Anthony Davis,64,28.8,13.5,51.6,0,0,2.6,75.1,8.2,1,1.2,1.8,1.4,1
Dion Waiters,61,28.8,14.7,41.2,1,31,2.6,74.6,2.4,3,1,0.3,2,1
Kyle Singler,82,28,8.8,42.8,0.9,35,1.2,80.6,4,0.9,0.7,0.5,1.2,1
Tyler Zeller,77,26.4,7.9,43.8,0,0,1.6,76.4,5.7,1.2,0.5,0.9,1.2,1
Maurice Harkless,76,26,8.2,46.1,0.4,27.4,1,57,4.4,0.7,1.2,0.8,0.9,1
Michael Kidd-Gilchrist,78,26,9,45.8,0,22.2,1.8,74.9,5.8,1.5,0.7,0.9,1.3,1
Harrison Barnes,81,25.4,9.2,43.9,0.6,35.9,1.8,75.8,4.1,1.2,0.6,0.2,1.3,1
Austin Rivers,61,23.2,6.2,37.2,0.5,32.6,1,54.6,1.8,2.1,0.4,0.1,1.2,1
Caris LeVert,12,15.5,4.7,35.8,0.8,32.3,0.7,66.7,2.6,1.3,0.9,0.2,0.6,0
Andre Drummond,60,20.7,7.9,60.8,0,50,1,37.1,7.6,0.5,1,1.6,0.9,1
Jared Sullinger,45,19.8,6,49.3,0,20,1,74.6,5.9,0.8,0.5,0.5,0.6,0
Meyers Leonard,69,17.5,5.5,54.5,0,42.9,1,80.9,3.7,0.5,0.2,0.6,0.7,1
Patrick Beverley,41,17.4,5.6,41.8,0.9,37.5,0.8,82.9,2.7,2.9,0.9,0.5,1.1,1
Jae Crowder,78,17.3,5,38.4,0.8,32.8,0.6,64.4,2.4,1.2,0.8,0.2,0.6,1
Brian Roberts,78,17,7.1,41.7,0.8,38.6,0.9,90.9,1.2,2.8,0.5,0,0.9,1
Terrence Ross,73,17,6.4,40.7,0.9,33.2,0.4,71.4,2,0.7,0.6,0.2,0.7,1
Chris Copeland,56,15.4,8.7,47.9,1.1,42.1,1.1,75.9,2.1,0.5,0.3,0.2,0.9,0
Thomas Robinson,70,15.1,4.8,43,0,0,0.8,52.3,4.5,0.7,0.6,0.4,1.3,1
John Jenkins,61,14.8,6.1,44.6,0.9,38.4,1,84.3,1.5,0.9,0.2,0.2,0.7,1
Kendall Marshall,48,14.6,3,37.1,0.5,31.5,0.2,57.1,0.9,3,0.5,0.1,1.2,0
Draymond Green,79,13.4,2.9,32.7,0.2,20.9,0.6,81.8,3.3,0.7,0.5,0.3,0.7,1
Darius Miller,52,13.3,2.3,40.7,0.4,39.3,0.2,100,1.5,0.8,0.3,0.2,0.4,0
John Henson,63,13.1,6,48.2,0,0,0.9,53.3,4.7,0.5,0.3,0.7,0.8,1
Sheldon McClellan,11,13.7,4.8,41.5,0.3,20,1.5,88.9,0.9,0.8,0.5,0.1,0.2,0
DeQuan Jones,63,12.7,3.7,43.6,0.1,25.7,0.5,66.7,1.7,0.3,0.3,0.3,0.5,0
Doron Lamb,47,12.3,3.3,36.8,0.3,37.8,0.4,58.8,1,0.7,0.3,0,0.6,0
Will Barton,73,12.2,4,38.2,0.1,13.8,0.7,76.9,2,0.8,0.5,0.1,0.8,1
Orlando Johnson,51,12.1,4,40,0.7,38.3,0.5,71.9,2.2,0.9,0.2,0.2,0.6,0
Arnett Moultrie,47,11.5,3.7,58.2,0,0,0.4,64.3,3.1,0.2,0.4,0.2,0.4,0
Kyle O'Quinn,57,11.2,4.1,51.3,0,0,0.5,66.7,3.7,0.9,0.2,0.5,0.7,1
Bernard James,46,9.9,2.8,51.5,0,0,0.5,61,2.8,0.1,0.3,0.8,0.4,0
Kim English,41,9.9,2.9,37.5,0.3,28,0.5,72.4,0.9,0.6,0.4,0.1,0.5,0
Rodney McGruder,30,25.7,5.8,40,0.8,32.5,0.7,72.4,3.5,1.5,0.7,0.3,0.7,0
Mike Scott,40,9.4,4.6,47.6,0,0,1.1,76.8,2.8,0.3,0.1,0.1,0.5,1
Marquis Teague,48,8.2,2.1,38.1,0.1,17.4,0.2,56.3,0.9,1.3,0.2,0.1,0.7,0
Tony Wroten,35,7.8,2.6,38.4,0.1,25,0.6,72.4,0.8,1.2,0.2,0.1,0.8,0
Maalik Wayns,27,7.5,2.8,29.5,0.3,22.6,0.6,89.5,0.3,1,0.2,0,0.6,0
Jeremy Lamb,23,6.4,3.1,35.3,0.4,30,0.6,100,0.8,0.2,0.1,0.1,0.3,1
Brandon Knight,66,32.3,12.8,41.5,1.6,38,1.6,75.9,3.2,3.8,0.7,0.1,2.6,1
MarShon Brooks,56,29.4,12.6,42.8,0.8,31.3,2,76.4,3.6,2.3,0.9,0.3,2.1,0
Iman Shumpert,59,28.9,9.5,40.1,0.8,30.6,1.5,79.8,3.2,2.8,1.7,0.1,1.9,1
Chandler Parsons,63,28.6,9.5,45.2,1,33.7,0.7,55.1,4.8,2.1,1.2,0.5,1.3,1
Kemba Walker,66,27.2,12.1,36.6,1,30.5,2.5,78.9,3.5,4.4,0.9,0.3,1.8,1
Isaiah Thomas,65,25.5,11.5,44.8,1.3,37.9,2.4,83.2,2.6,4.1,0.8,0.1,1.6,1
Klay Thompson,66,24.4,12.5,44.3,1.7,41.4,1.2,86.8,2.4,2,0.7,0.3,1.6,1
Kawhi Leonard,64,24,7.9,49.3,0.6,37.6,1.1,77.3,5.1,1.1,1.3,0.4,0.7,1
Wade Baldwin,22,13.5,3.5,31.3,0.1,11.1,1,82.1,1.5,2.1,0.6,0.3,1.3,0
Kenneth Faried,46,22.5,10.2,58.6,0,0,2.4,66.5,7.7,0.8,0.7,1,1.2,1
Chris Singleton,66,21.7,4.6,37.2,0.7,34.6,0.5,68.2,3.5,0.7,1.1,0.5,0.6,0
Derrick Williams,66,21.5,8.8,41.2,0.6,26.8,2.1,69.7,4.7,0.6,0.5,0.5,1.2,1
Donald Sloan,33,20.3,5.5,39.9,0.1,8,0.7,76.7,2,3.2,0.4,0.1,1.5,1
Markieff Morris,63,19.5,7.4,39.9,0.7,34.7,1.2,71.7,4.4,1,0.7,0.7,1.1,1
Norris Cole,65,19.4,6.8,39.3,0.3,27.6,1,77.6,1.4,2,0.7,0,1.6,1
Jimmer Fredette,61,18.6,7.6,38.6,1.3,36.1,0.7,83.3,1.2,1.8,0.5,0.1,1.1,1
Charles Jenkins,51,17.5,5.8,44.7,0.1,15,0.7,87.2,1.3,3.3,0.7,0.1,1.2,0
Jaylen Brown,34,13.4,4.9,44.6,0.4,31.6,0.7,63.2,1.8,0.6,0.3,0.3,0.6,0
Ivan Johnson,56,16.7,6.4,51.3,0,33.3,1.3,72,4,0.6,0.8,0.3,1.2,0
Alec Burks,59,15.9,7.2,42.9,0.3,33.3,1.8,72.7,2.2,0.9,0.5,0.1,0.9,1
Lavoy Allen,41,15.2,4.1,47.3,0,0,0.3,78.6,4.2,0.8,0.3,0.4,0.5,1
Lance Thomas,42,15,4,45.2,0,0,1.2,83.9,3,0.3,0.2,0.2,0.6,1
Jordan Williams,43,14.8,4.6,50.7,0,0,1,65.2,3.6,0.3,0.5,0.3,0.5,0
Josh Harrellson,37,14.6,4.4,42.3,0.5,33.9,0.4,61.5,3.9,0.3,0.6,0.5,0.5,0
Greg Stiemsma,55,13.9,2.9,54.5,0,0,0.5,70.7,3.2,0.5,0.7,1.6,0.6,0
Jeremy Tyler,42,13.5,4.9,42.1,0,0,0.7,55.8,3.3,0.4,0.4,0.5,0.9,0
Malcolm Lee,19,12.8,3.3,39,0.1,20,0.7,82.4,1.4,1.6,0.4,0.2,0.9,0
Nolan Smith,44,12.3,3.8,37.2,0.3,28.9,0.5,71.4,1.3,1.4,0.4,0.1,0.9,0
Shelvin Mack,64,12.2,3.6,40,0.2,28.6,0.7,71.2,1.4,2,0.4,0,0.8,1
Jon Leuer,46,12.1,4.7,50.8,0.1,33.3,0.5,75,2.6,0.5,0.3,0.4,0.4,1
Tobias Harris,42,11.4,5,46.7,0.1,26.1,1,81.5,2.4,0.5,0.3,0.2,0.7,1
Cory Higgins,38,11.1,3.9,32.5,0.1,20,1.1,70,0.9,0.9,0.1,0.2,1,0
Andrew Goudelock,40,10.5,4.4,39.1,0.7,37.3,0.3,91.7,0.8,0.5,0.1,0,0.5,0
Jordan Hamilton,26,9.9,4.4,43.2,0.7,36.2,0.1,40,2.4,0.8,0.1,0.1,0.6,1
Mickell Gladness,26,9.7,2.2,42.4,0,0,0.2,50,2.2,0.2,0.1,0.8,0.3,0
Patrick McCaw,26,12.2,2.8,38.9,0.6,37.5,0.1,50,1,1,0.4,0.3,0.6,0
Jeremy Pargo,44,9.6,2.9,33.3,0.2,26.3,0.4,59.3,0.8,1.3,0.3,0,1.1,0
E'Twaun Moore,38,8.7,2.9,38.1,0.4,37.8,0.2,100,0.9,0.9,0.3,0.1,0.6,1
Jimmy Butler,42,8.5,2.6,40.5,0,18.2,1,76.8,1.3,0.3,0.3,0.1,0.3,1
JaJuan Johnson,36,8.3,3.2,44.6,0,0,0.2,66.7,1.6,0.2,0.1,0.4,0.4,0
Blake Griffin,82,38,22.5,50.6,0.1,29.2,5.4,64.2,12.1,3.8,0.8,0.6,2.7,1
John Wall,69,37.8,16.4,40.9,0.5,29.6,4.4,76.6,4.6,8.3,1.8,0.5,3.8,1
Landry Fields,82,31,9.7,49.7,1,39.3,1.4,76.9,6.4,1.9,1,0.2,1.3,1
DeMarcus Cousins,81,28.5,14.1,43,0,16.7,3.4,68.7,8.6,2.5,1.1,0.8,3.3,1
Greg Monroe,80,27.8,9.4,55.1,0,0,1.8,62.2,7.5,1.3,1.2,0.6,1,1
Wesley Johnson,79,26.2,9,39.7,1.3,35.6,0.8,69.6,3,1.9,0.7,0.7,1.2,1
Ed Davis,65,24.6,7.7,57.6,0,0,1.1,55.5,7.1,0.6,0.6,1,0.7,1
Jordan Crawford,42,24.5,11.7,38.4,0.8,25.8,1.7,86.9,2.5,2.8,0.9,0.1,2,0
Evan Turner,78,23,7.2,42.5,0.2,31.8,1.3,80.8,3.9,2,0.6,0.2,1,1
Eric Bledsoe,81,22.7,6.7,42.4,0.4,27.6,1.2,74.4,2.8,3.6,1.1,0.3,2.4,1
Gary Neal,80,21.1,9.8,45.1,1.6,41.9,1.1,80.8,2.5,1.2,0.3,0.1,1,1
Paul George,61,20.7,7.8,45.3,0.7,29.7,1.3,76.2,3.7,1.1,1,0.4,1.1,1
Derrick Favors,78,19.7,6.8,51.7,0,0,1.3,59.5,5.3,0.5,0.4,0.9,1,1
Kay Felder,15,11,5.4,43.5,0.3,44.4,1.5,76.7,1.3,1.9,0.4,0.2,0.7,0
Al-Farouq Aminu,81,17.9,5.6,39.4,0.6,31.5,1.1,77.3,3.3,0.7,0.7,0.3,1.3,1
Ekpe Udoh,58,17.8,4.1,43.7,0,0,0.7,65.6,3.1,0.7,0.4,1.5,0.8,1
Manny Harris,54,17.3,5.9,37.4,0.6,37,1.3,76.3,2.6,1.6,0.6,0.1,1.2,0
Gordon Hayward,72,16.9,5.4,48.5,0.5,47.3,1,71.1,1.9,1.1,0.4,0.3,1,1
Patrick Patterson,52,16.7,6.3,55.8,0,0,0.6,71.4,3.8,0.8,0.3,0.7,0.6,1
Trevor Booker,65,16.4,5.3,54.9,0,0,1,67.3,3.9,0.5,0.5,0.7,0.6,1
Larry Sanders,60,14.5,4.3,43.3,0,0,0.5,56,3,0.3,0.4,1.2,0.6,1
Luke Harangody,49,13.1,3.9,38.3,0.3,24.2,0.4,73.1,2.9,0.6,0.3,0.3,0.3,0
Quincy Pondexter,66,11.1,2.8,40.6,0.3,36,0.4,70.6,1.3,0.4,0.3,0.1,0.2,1
Ben Uzoh,42,10.4,3.8,42.4,0.1,37.5,0.8,58.9,1.5,1.6,0.3,0.2,0.6,0
Ish Smith,43,10.3,2.3,37.4,0.1,30,0.3,57.1,1.1,1.8,0.4,0.1,0.8,1
Lazar Hayward,42,10,3.8,35.7,0.4,28.3,0.8,78.6,1.7,0.7,0.3,0.2,0.5,0
Jeremy Evans,49,9.4,3.6,66.1,0,0,0.5,70.3,2,0.5,0.3,0.3,0.4,1
Cole Aldrich,18,7.9,1,53.3,0,0,0.1,50,1.9,0.2,0.3,0.4,0.4,1
Armon Johnson,38,7.3,2.9,45.5,0.1,41.7,0.3,59.1,0.9,1.2,0.1,0,1,0
Mustafa Shakur,22,7.2,2.3,35.6,0,10,0.4,53.3,1,1.1,0.2,0.1,0.8,0
Derrick Caracter,41,5.2,2,48.5,0,0,0.4,73.9,1,0.2,0.1,0.2,0.5,0
Tyreke Evans,72,37.2,20.1,45.8,0.5,25.5,4.8,74.8,5.3,5.8,1.5,0.4,3,1
Stephen Curry,80,36.2,17.5,46.2,2.1,43.7,2.2,88.5,4.5,5.9,1.9,0.2,3,1
Brandon Jennings,82,32.6,15.5,37.1,1.8,37.4,2.7,81.7,3.4,5.7,1.3,0.2,2.4,1
Denzel Valentine,22,10.6,2.5,27.7,0.5,26.2,0.3,87.5,1.6,0.5,0.3,0.1,0.4,0
Jonny Flynn,81,28.9,13.5,41.7,1,35.8,2.8,82.6,2.4,4.4,1,0,2.9,0
Darren Collison,76,27.8,12.4,47.7,0.6,40,1.9,85.1,2.5,5.7,1,0.1,2.7,1
Taj Gibson,82,26.9,9,49.4,0,0,1.4,64.6,7.5,0.9,0.6,1.3,1.4,1
Marcus Thornton,73,25.6,14.5,45.1,1.6,37.4,2,81.4,2.9,1.6,0.8,0.1,1,1
Wesley Matthews,82,24.7,9.4,48.3,0.8,38.2,2,82.9,2.3,1.5,0.8,0.2,1.1,1
Jrue Holiday,73,24.2,8,44.2,0.8,39,0.9,75.6,2.6,3.8,1.1,0.3,2.1,1
James Harden,76,22.9,9.9,40.3,1.2,37.5,2.6,80.8,3.2,1.8,1.1,0.3,1.4,1
Terrence Williams,78,22.6,8.4,40.1,0.4,31,1.3,71.5,4.5,2.9,0.6,0.1,1.6,0
Taurean Waller-Prince,20,10,3.4,39.3,0.4,29.2,0.6,85.7,2,0.7,0.3,0.3,0.7,0
DeMar DeRozan,77,21.6,8.6,49.8,0.1,25,1.9,76.3,2.9,0.7,0.6,0.2,0.8,1
Ty Lawson,65,20.3,8.3,51.5,0.5,41,1.6,75.7,1.9,3.1,0.7,0,1.3,1
Chase Budinger,74,20.1,8.9,44.1,1.2,36.9,0.9,77,3,1.2,0.5,0.1,0.7,1
Toney Douglas,56,19.4,8.6,45.8,1.2,38.9,1,80.9,1.9,2,0.8,0.1,1,1
DeJuan Blair,82,18.2,7.8,55.6,0,0,1.1,54.7,6.4,0.8,0.6,0.5,1.4,1
Wayne Ellington,76,18.2,6.6,42.4,0.8,39.5,0.8,87.1,2.1,1,0.3,0.1,1,1
Sam Young,80,16.5,7.4,45.1,0.1,19.6,1.7,77.7,2.5,0.7,0.4,0.3,1.2,0
Eric Maynor,81,15.7,4.7,41.8,0.3,31,0.6,72.2,1.6,3.3,0.5,0.1,1.1,1
A.J. Price,56,15.4,7.3,41,1.1,34.5,1.1,80,1.6,1.9,0.6,0.1,1.1,1
Karl-Anthony Towns,82,32,18.3,54.2,0.4,34.1,2.7,81.1,10.5,2,0.7,1.7,2.2,0
Jordan Hill,47,13.3,5.2,49.3,0,0,1,67.6,3.7,0.4,0.3,0.5,0.6,1
Austin Daye,69,13.3,5.1,46.4,0.4,30.5,0.7,82.1,2.5,0.5,0.4,0.4,0.7,1
Chris Hunter,60,13.1,4.5,50.2,0,0,0.9,75.4,2.8,0.6,0.2,0.6,0.5,0
Jon Brockman,52,12.6,2.8,53.4,0,0,0.7,59.7,4.1,0.4,0.3,0.1,0.4,0
Garrett Temple,27,12.4,5,43.6,0.5,35.1,1.3,70,1.1,0.8,0.5,0.2,1,1
Jodie Meeks,60,12,4.7,38.8,0.7,31.8,0.5,79.5,1.6,0.7,0.3,0.1,0.4,1
Dante Cunningham,63,11.2,3.9,49.5,0,0,0.5,64.6,2.5,0.2,0.4,0.3,0.2,1
DeMarre Carroll,71,11.2,2.9,39.6,0,0,0.5,62.3,2.1,0.5,0.4,0.1,0.3,1
Jeff Ayres,39,10.4,2.7,66.2,0,0,0.5,90,2.5,0,0.2,0.4,0.3,1
Jeff Teague,71,10.1,3.2,39.6,0.1,21.9,0.6,83.7,0.9,1.7,0.5,0.1,0.7,1
Derrick Brown,57,9.4,3.3,46.3,0,28.6,0.8,66.7,1.4,0.3,0.4,0.2,0.3,0
DaJuan Summers,44,9.2,3,35.4,0.3,35.7,0.6,71.1,1,0.4,0.2,0.2,0.4,0
Gerald Henderson,43,8.3,2.6,35.6,0.1,21.1,0.8,74.5,1.3,0.3,0.2,0.2,0.3,1
Gerald Henderson,43,8.3,2.6,35.6,0.1,21.1,0.8,74.5,1.3,0.3,0.2,0.2,0.3,1
Earl Clark,51,7.5,2.7,37.1,0,40,0.5,72.2,1.2,0.4,0.1,0.3,0.5,1
Cedric Jackson,12,6.3,1.7,30,0.1,16.7,0.6,58.3,0.7,1.2,0.3,0.2,0.9,0
Marcus Landry,18,6.2,2.4,37.2,0.5,32.1,0.2,60,1.1,0,0.1,0.1,0.3,0
Jahlil Okafor,53,30,17.5,50.8,0,16.7,2.5,68.6,7,1.2,0.4,1.1,2.3,0
Lester Hudson,25,5.2,2.3,39.6,0.2,31.3,0.4,84.6,0.7,0.5,0.3,0.1,0.6,0
O.J. Mayo,82,38,18.5,43.8,1.8,38.4,3,87.9,3.8,3.2,1.1,0.2,2.8,1
Derrick Rose,81,37,16.8,47.5,0.2,22.2,2.4,78.8,3.9,6.3,0.8,0.2,2.5,1
